episode,win_rate,avg_score,epsilon
100,0.17,45.72,0.4756
200,0.18,51.71,0.4524
300,0.19,51.77,0.4303
400,0.15,57.88,0.4093
500,0.14,49.01,0.3894
600,0.23,47.79,0.3704
700,0.11,50.99,0.3523
800,0.14,49.89,0.3351
900,0.24,48.93,0.3188
1000,0.29,45.1,0.3032
1100,0.19,46.61,0.2884
1200,0.24,45.38,0.2744
1300,0.29,40.61,0.261
1400,0.28,40.43,0.2482
1500,0.28,42.85,0.2361
1600,0.32,36.91,0.2246
1700,0.27,34.48,0.2137
1800,0.28,46.21,0.2032
1900,0.28,37.42,0.1933
2000,0.18,51.55,0.1839
2100,0.22,48.54,0.1749
2200,0.3,43.14,0.1664
2300,0.3,43.06,0.1583
2400,0.27,39.79,0.1506
2500,0.26,43.75,0.1432
2600,0.23,47.43,0.1362
2700,0.24,46.76,0.1296
2800,0.29,44.38,0.1233
2900,0.19,47.48,0.1172
3000,0.2,46.46,0.1115
3100,0.25,55.67,0.1061
3200,0.21,50.09,0.1009
3300,0.21,50.51,0.096
3400,0.28,46.2,0.0913
3500,0.29,46.63,0.0868
3600,0.22,56.56,0.0826
3700,0.18,57.4,0.0786
3800,0.25,50.76,0.0747
3900,0.25,51.45,0.0711
4000,0.29,46.37,0.0676
4100,0.19,54.19,0.0643
4200,0.31,49.6,0.0612
4300,0.24,44.9,0.0582
4400,0.21,54.74,0.0554
4500,0.23,51.81,0.0527
4600,0.24,53.04,0.0501
4700,0.2,52.17,0.05
4800,0.19,54.66,0.05
4900,0.22,51.88,0.05
5000,0.27,55.15,0.05
